NACA 0009

Angle of Attack = 0
Transition
Upper Surface = 100 %
Lower Surface = 100 %
Mach = 0
Surface Finish = smooth finish
Stall model: Calcfoil
Transition model: Eppler standard

Re = 100000
x/c	y/c	v/V	δ_1	δ_2	δ_3	Reδ_2	C_f	H_12	H_32	State	y1
0.6545	0.0301	1.0488	0.005847	0.001841	0.002818	194.2	0.0009	3.1758	1.5308	lam.	0.0463
0.6243	0.0321	1.0547	0.005501	0.001773	0.002720	188.1	0.0011	3.1022	1.5341	lam.	0.0428
0.5937	0.0341	1.0607	0.005188	0.001705	0.002622	181.9	0.0012	3.0422	1.5372	lam.	0.0400
0.5627	0.0359	1.0667	0.004900	0.001638	0.002523	175.7	0.0014	2.9914	1.5401	lam.	0.0378
0.5314	0.0376	1.0727	0.004626	0.001570	0.002422	169.3	0.0016	2.9466	1.5428	lam.	0.0358
0.5000	0.0392	1.0787	0.004364	0.001502	0.002321	162.9	0.0017	2.9064	1.5455	lam.	0.0340
0.4686	0.0407	1.0848	0.004112	0.001433	0.002218	156.3	0.0019	2.8697	1.5481	lam.	0.0324
0.4373	0.0419	1.0909	0.003872	0.001365	0.002117	149.7	0.0021	2.8363	1.5506	lam.	0.0310
0.4063	0.0430	1.0969	0.003638	0.001297	0.002014	143.0	0.0023	2.8053	1.5531	lam.	0.0296
0.3757	0.0438	1.1028	0.003412	0.001229	0.001912	136.3	0.0025	2.7765	1.5554	lam.	0.0283
0.3455	0.0444	1.1086	0.003194	0.001162	0.001809	129.4	0.0027	2.7497	1.5577	lam.	0.0270
0.3159	0.0447	1.1143	0.002983	0.001095	0.001707	122.5	0.0030	2.7248	1.5599	lam.	0.0258
0.2871	0.0447	1.1196	0.002776	0.001028	0.001605	115.6	0.0033	2.7016	1.5620	lam.	0.0247
0.2591	0.0445	1.1247	0.002579	0.000962	0.001505	108.7	0.0036	2.6804	1.5640	lam.	0.0236
0.2321	0.0439	1.1294	0.002386	0.000897	0.001404	101.7	0.0039	2.6605	1.5658	lam.	0.0225
0.2061	0.0431	1.1337	0.002199	0.000832	0.001305	94.7	0.0043	2.6422	1.5676	lam.	0.0214
0.1813	0.0419	1.1374	0.002017	0.000768	0.001206	87.6	0.0048	2.6249	1.5693	lam.	0.0204
0.1577	0.0405	1.1406	0.001837	0.000704	0.001106	80.5	0.0054	2.6081	1.5709	lam.	0.0193
0.1355	0.0388	1.1430	0.001662	0.000642	0.001009	73.4	0.0060	2.5906	1.5726	lam.	0.0183
0.1147	0.0367	1.1445	0.001490	0.000578	0.000911	66.2	0.0068	2.5756	1.5744	lam.	0.0171
0.0955	0.0344	1.1449	0.001323	0.000517	0.000815	59.1	0.0078	2.5597	1.5762	lam.	0.0160
0.0778	0.0319	1.1438	0.001157	0.000455	0.000718	51.9	0.0091	2.5416	1.5784	lam.	0.0148
0.0618	0.0291	1.1408	0.000990	0.000393	0.000621	44.6	0.0109	2.5196	1.5810	lam.	0.0135
0.0476	0.0261	1.1347	0.000826	0.000332	0.000526	37.3	0.0136	2.4903	1.5846	lam.	0.0121
0.0351	0.0228	1.1238	0.000669	0.000273	0.000434	30.2	0.0178	2.4489	1.5898	lam.	0.0106
0.0245	0.0194	1.1043	0.000514	0.000215	0.000344	23.0	0.0253	2.3910	1.5975	lam.	0.0089
0.0157	0.0158	1.0682	0.000369	0.000159	0.000256	15.9	0.0403	2.3194	1.6075	lam.	0.0070
0.0089	0.0121	0.9974	0.000254	0.000113	0.000183	9.8	    0.0727	2.2446	1.6187	lam.	0.0052
0.0039	0.0082	0.8488	0.000205	0.000092	0.000149	4.0	    0.1806	2.2352	1.6202	lam.	0.0033
0.0010	0.0041	0.5325	0.000183	0.000082	0.000133	0.2	    0.0001	2.2364	1.6200	lam.	0.1414
0.0000	0.0000	0.0000	0.000001	0.000000	0.000001	0.0	    0.0000	2.2364	1.6200	lam.	0.0000
0.0010	-0.0041	0.5325	0.000183	0.000082	0.000133	0.2	    0.0001	2.2364	1.6200	lam.	0.1414
0.0039	-0.0082	0.8488	0.000205	0.000092	0.000149	4.0	    0.1806	2.2352	1.6202	lam.	0.0033
